Order Placed With,Total Revenue,Total Units Sold,Total Transactions,Average Transaction Value,Median Transaction Value,Average Units Per Transaction,Average Price Per Unit,Unique Shops,Unique Products,Repeat Purchase Rate,Churn Rate (>90d),Average Order Frequency (days),Shop Code,Average Sales per Shop,Product Code,Average Sales per Product,Average Sales Growth Rate,Average Basket Size,Channel Share
App1,22473472.64,5935156,171379,131.1331764101786,83.12,34.63175768326341,3.7865007490957274,623,497,0.5,0.42215088282504015,3.06489612202491,Shop 001,84.91278225806451,Pdt E001,89.68410351201479,-0.014453079461143797,1.0,0.5781054742257302
App2,16400874.07,4741656,71736,228.6282211163154,120.36,66.09869521579124,3.4588915918826673,472,429,0.5,0.510593220338983,3.787562758775093,Shop 719,78.57413793103449,Pdt Y507,176.74,1.0508420636745166,1.0,0.42189452577427
