Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score
Shop 081,8,23,135465.06,7.481502819454793,2023,0,4,5,5,1
Shop 082,71,25,98269.66,2.9372483793314283,2023,1,1,5,5,5
Shop 083,7,8,7860.23,4.2804562569008,2023,0,5,2,2,4
Shop 084,20,5,6000.68,4.795280777305166,2023,0,3,1,1,3
Shop 086,6,2,63037.450000000004,4.358898943540674,2023,0,5,1,5,4
Shop 087,0,9,63715.96,5.934750607200115,2023,0,5,2,5,2
Shop 089,174,4,2955.93,4.937213165607535,2023,1,1,1,1,3
Shop 090,0,22,60993.6,4.963280382234819,2023,0,5,5,5,3
Shop 091,9,41,267763.45,8.034771331910033,2023,0,4,5,5,1
Shop 093,26,8,42360.85,8.834981267693864,2023,0,2,2,4,1
Shop 094,35,5,9663.55,4.62485890310533,2023,0,2,1,2,3
Shop 095,5,8,5573.4,1.8428618854883112,2023,0,5,2,1,5
Shop 096,196,2,2560.14,5.47722557505166,2023,1,1,1,1,2
Shop 097,5,19,31826.36,7.396239942303793,2023,0,5,4,4,1
Shop 098,175,2,2806.45,6.855654600401044,2023,0,1,1,1,1
Shop 099,34,4,3479.72,3.7244586288733705,2023,0,2,1,1,4
Shop 100,12,13,23576.27,3.6739496707612727,2023,0,4,4,3,4
Shop 101,5,13,14719.84,3.805566312492388,2023,0,5,4,3,4
Shop 102,28,15,58003.84,6.366013461992375,2023,0,2,4,5,2
Shop 103,37,9,20569.94,1.6747445657389424,2023,0,2,2,3,5
Shop 104,9,17,20287.08,4.418772164895515,2023,0,4,4,3,4
Shop 105,9,50,399794.32,5.5817116417349375,2023,0,4,5,5,2
Shop 106,48,9,12289.78,4.346119107218599,2023,0,2,2,2,4
Shop 107,16,12,36867.51,7.076362035067458,2023,0,3,3,4,1
Shop 108,8,18,23935.25,4.603307989265073,2023,0,4,4,3,3
Shop 109,5,12,10652.67,2.367768338393112,2023,0,5,3,2,5
Shop 110,7,21,291514.8,9.45983992674528,2023,0,5,5,5,1
Shop 111,49,11,13918.58,4.808217120368611,2023,0,2,3,2,3
Shop 112,27,11,19062.52,7.046617550778967,2023,0,2,3,3,1
Shop 113,35,9,19340.33,7.617417043136075,2023,0,2,2,3,1
Shop 114,7,20,46540.0,2.1488888974297433,2023,0,5,5,4,5
Shop 115,14,7,31808.13,4.31444129281695,2023,0,3,2,4,4
Shop 116,48,8,13672.33,4.4215846976124995,2023,0,2,2,2,4
Shop 117,62,3,580.86,2.277049861296205,2023,1,1,1,1,5
Shop 121,9,3,5390.36,6.69730786094455,2024,0,4,1,1,2
Shop 122,9,3,4195.98,5.168156818243738,2024,0,4,1,1,3
Shop 123,21,1,1210.71,0.0,2024,1,3,1,1,5
