Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score,Segment,Average Order Value,YTD_RLV,Trans_num_orders,Trans_avg_order_value,Expected Lifetime Orders,Expected RLV
Shop 054,9,9,18277.6,6.181410964582693,2023,0,4,2,3,2,Loyal,2030.8444444444442,20498.17,10,2049.817,12.303564932949673,24986.626490942323
Shop 055,9,12,14352.03,3.595038409117202,2023,0,4,3,3,4,Loyal,1196.0025,16133.38,14,1152.3842857142856,12.303564932949673,14715.094418720142
Shop 056,44,11,38776.89,5.927560954867071,2023,0,2,3,4,2,At Risk,3525.1718181818183,57988.17,13,4460.628461538461,12.303564932949673,43372.18036480426
Shop 057,33,6,7080.95,3.678430014830184,2023,0,2,2,2,4,At Risk,1180.1583333333333,8901.97,9,989.1077777777778,12.303564932949673,14520.15468532833
Shop 059,49,3,6217.2,5.668834306800579,2023,0,2,1,1,2,At Risk,2072.4,8336.66,4,2084.165,12.303564932949673,25497.907967044903
Shop 060,49,4,5424.43,4.90601522017769,2023,0,2,1,1,3,At Risk,1356.1075,7483.58,6,1247.2633333333333,12.303564932949673,16684.95668231005
Shop 061,219,2,1272.1,3.605551275463989,2023,0,1,1,1,4,At Risk,636.05,2374.04,3,791.3466666666667,12.303564932949673,7825.682475602639
Shop 062,13,3,6460.8,5.316476376582963,2023,0,4,1,1,3,Promising,2153.6,6537.98,5,1307.596,12.303564932949673,26496.957439600414
Shop 063,16,11,35131.91,7.514054714449089,2023,0,3,3,4,1,At Risk,3193.8100000000004,43311.15,14,3093.6535714285715,12.303564932949673,39295.248718504
Shop 064,78,7,24932.36,8.746201372186217,2023,0,1,2,4,1,At Risk,3561.7657142857142,33024.12,10,3302.4120000000003,12.303564932949673,43822.415741668156
Shop 065,7,6,21223.94,5.005243743989697,2023,0,5,2,3,3,Loyal,3537.3233333333333,30784.81,9,3420.5344444444445,12.303564932949673,43521.68732050464
Shop 066,14,20,39391.82,5.245942451280659,2023,0,3,5,4,3,At Risk,1969.591,47900.68,24,1995.8616666666667,12.303564932949673,24232.990759853277
Shop 067,0,14,20478.3,5.0068132202891515,2023,0,5,4,3,3,Loyal,1462.7357142857143,22771.57,16,1423.223125,12.303564932949673,17996.863840458805
Shop 068,41,14,16651.15,4.1820053980153125,2023,0,2,4,3,4,At Risk,1189.3678571428572,23513.2,17,1383.129411764706,12.303564932949673,14633.464659520354
Shop 069,23,6,6846.6900000000005,4.395694580514125,2023,0,3,2,2,4,At Risk,1141.115,10567.35,8,1320.91875,12.303564932949673,14039.782498462866
Shop 070,29,8,10803.8,4.498941341381912,2023,0,2,2,2,3,At Risk,1350.475,13585.67,10,1358.567,12.303564932949673,16615.656852825206
Shop 071,26,9,24879.73,6.186838068819354,2023,0,2,2,4,2,At Risk,2764.4144444444446,30681.870000000003,11,2789.2609090909095,12.303564932949673,34012.15261880622
Shop 072,16,7,10635.43,3.95037574940502,2023,0,3,2,2,4,At Risk,1519.347142857143,13006.29,9,1445.1433333333334,12.303564932949673,18693.38622783442
Shop 073,15,11,20072.86,4.1038815703075135,2023,0,3,3,3,4,At Risk,1824.8054545454545,24699.350000000002,14,1764.2392857142859,12.303564932949673,22451.61240000074
Shop 074,8,9,8095.78,4.97309451915942,2023,0,4,2,2,3,Promising,899.531111111111,8875.16,10,887.516,12.303564932949673,11067.43943476392
Shop 075,79,9,33116.86,7.380345307324426,2023,0,1,2,4,1,At Risk,3679.6511111111113,43365.25,11,3942.2954545454545,12.303564932949673,45272.82637615597
Shop 077,26,7,7425.15,4.8800058172980485,2023,1,2,2,2,3,At Risk,1060.7357142857143,7425.15,7,1060.7357142857143,12.303564932949673,13050.830737413038
Shop 078,27,22,66460.86,6.917187722404152,2023,0,2,5,5,1,At Risk,3020.9481818181816,78324.42,25,3132.9768,12.303564932949673,37168.432114076255
Shop 079,14,11,29431.59,1.881811891567022,2023,1,3,3,4,5,At Risk,2675.599090909091,29431.59,11,2675.599090909091,12.303564932949673,32919.40714954112
Shop 080,22,6,13083.08,5.4266035529706915,2023,0,3,2,2,2,At Risk,2180.5133333333333,16039.41,7,2291.344285714286,12.303564932949673,26828.0873838292
Shop 081,8,23,135465.06,7.481502819454793,2023,0,4,5,5,1,Loyal,5889.785217391304,160966.91,33,4877.7851515151515,12.303564932949673,72465.35486330102
Shop 082,71,25,98269.66,2.9372483793314283,2023,1,1,5,5,5,At Risk,3930.7864,98269.66,25,3930.7864,12.303564932949673,48362.68570995548
Shop 083,7,8,7860.23,4.2804562569008,2023,0,5,2,2,4,Promising,982.52875,9272.98,10,927.298,12.303564932949673,12088.606274114874
Shop 084,20,5,6000.68,4.795280777305166,2023,0,3,1,1,3,At Risk,1200.136,6790.67,6,1131.7783333333334,12.303564932949673,14765.951204370489
Shop 086,6,2,63037.45,4.358898943540674,2023,0,5,1,5,4,Promising,31518.725,94614.25,3,31538.083333333332,12.303564932949673,387792.67964128416
Shop 087,0,9,63715.96,5.934750607200115,2023,0,5,2,5,2,VIP,7079.551111111111,80318.08,11,7301.643636363637,12.303564932949673,87103.71679169156
Shop 089,174,4,2955.93,4.937213165607535,2023,1,1,1,1,3,At Risk,738.9825,2955.93,4,738.9825,12.303564932949673,9092.119173063482
Shop 090,0,22,60993.6,4.963280382234819,2023,0,5,5,5,3,VIP,2772.4363636363637,68573.43000000001,26,2637.4396153846155,12.303564932949673,34110.85082247087
Shop 091,9,41,267763.45,8.034771331910033,2023,0,4,5,5,1,Loyal,6530.815853658537,362324.24,55,6587.713454545455,12.303564932949673,80352.31692062496
Shop 093,26,8,42360.85,8.834981267693864,2023,0,2,2,4,1,At Risk,5295.10625,44976.979999999996,9,4997.442222222222,12.303564932949673,65148.683573742645
Shop 094,35,5,9663.55,4.62485890310533,2023,0,2,1,2,3,At Risk,1932.7099999999998,12032.68,7,1718.9542857142858,12.303564932949673,23779.22298156116
Shop 095,5,8,5573.4,1.8428618854883112,2023,0,5,2,1,5,Promising,696.675,6631.44,9,736.8266666666666,12.303564932949673,8571.586099662713
Shop 096,196,2,2560.14,5.47722557505166,2023,1,1,1,1,2,At Risk,1280.07,2560.1400000000003,2,1280.0700000000002,12.303564932949673,15749.424363720887
Shop 097,5,19,31826.36,7.396239942303793,2023,0,5,4,4,1,VIP,1675.0715789473684,40084.51,21,1908.7861904761905,12.303564932949673,20609.35193891748
Shop 098,175,2,2806.45,6.855654600401044,2023,0,1,1,1,1,At Risk,1403.225,4291.6,3,1430.5333333333335,12.303564932949673,17264.669903038302
Shop 099,34,4,3479.72,3.7244586288733705,2023,0,2,1,1,4,At Risk,869.93,5111.24,6,851.8733333333333,12.303564932949673,10703.240242120908
Shop 100,12,13,23576.27,3.6739496707612727,2023,0,4,4,3,4,Loyal,1813.559230769231,30376.170000000002,17,1786.8335294117649,12.303564932949673,22313.243755519492
Shop 101,5,13,14719.84,3.805566312492388,2023,0,5,4,3,4,Loyal,1132.2953846153846,19205.78,16,1200.36125,12.303564932949673,13931.26978789461
Shop 102,28,15,58003.84,6.366013461992375,2023,0,2,4,5,2,At Risk,3866.9226666666664,80067.97,20,4003.3985000000002,12.303564932949673,47576.934120028236
Shop 103,37,9,20569.94,1.6747445657389424,2023,0,2,2,3,5,At Risk,2285.5488888888885,33987.97,12,2832.3308333333334,12.303564932949673,28120.399161875415
Shop 104,9,17,20287.08,4.418772164895515,2023,0,4,4,3,4,Loyal,1193.3576470588237,24203.28,19,1273.856842105263,12.303564932949673,14682.553298820276
Shop 105,9,50,399794.32,5.5817116417349375,2023,0,4,5,5,2,Loyal,7995.8864,464190.5,58,8003.2844827586205,12.303564932949673,98377.9075188892
Shop 106,48,9,12289.78,4.346119107218599,2023,0,2,2,2,4,At Risk,1365.5311111111112,14150.36,10,1415.036,12.303564932949673,16800.90069351847
Shop 107,16,12,36867.51,7.076362035067458,2023,0,3,3,4,1,At Risk,3072.2925,47968.270000000004,14,3426.3050000000003,12.303564932949673,37800.150266764285
Shop 108,8,18,23935.25,4.603307989265073,2023,0,4,4,3,3,Loyal,1329.736111111111,28302.86,22,1286.4936363636364,12.303564932949673,16360.494586743536
Shop 109,5,12,10652.67,2.367768338393112,2023,0,5,3,2,5,Promising,887.7225,14234.01,17,837.2947058823529,12.303564932949673,10922.151421190416
Shop 110,7,21,291514.8,9.45983992674528,2023,0,5,5,5,1,VIP,13881.657142857142,372429.20999999996,27,13793.674444444443,12.303564932949673,170793.87003408748
Shop 111,49,11,13918.58,4.808217120368611,2023,0,2,3,2,3,At Risk,1265.3254545454545,14614.119999999999,12,1217.8433333333332,12.303564932949673,15568.013891314058
Shop 112,27,11,19062.52,7.046617550778967,2023,0,2,3,3,1,At Risk,1732.9563636363637,23586.47,15,1572.4313333333334,12.303564932949673,21321.541145968346
Shop 113,35,9,19340.33,7.617417043136075,2023,0,2,2,3,1,At Risk,2148.9255555555555,24199.44,11,2199.949090909091,12.303564932949673,26439.445108852728
Shop 114,7,20,46540.0,2.1488888974297433,2023,0,5,5,4,5,Promising,2327.0,50507.06,23,2195.9591304347823,12.303564932949673,28630.39559897389
Shop 115,14,7,31808.13,4.31444129281695,2023,0,3,2,4,4,At Risk,4544.018571428572,44777.29,12,3731.4408333333336,12.303564932949673,55907.627550100646
Shop 116,48,8,13672.33,4.4215846976124995,2023,0,2,2,2,4,At Risk,1709.04125,17474.02,11,1588.5472727272727,12.303564932949673,21027.299992464476
Shop 117,62,3,580.86,2.277049861296205,2023,1,1,1,1,5,At Risk,193.62,580.86,3,193.62,12.303564932949673,2382.2162423177156
Shop 121,9,3,5390.36,6.69730786094455,2024,0,4,1,1,2,Promising,1796.7866666666666,8290.45,4,2072.6125,12.303564932949673,22106.881423991534
Shop 122,9,3,4195.98,5.168156818243738,2024,0,4,1,1,3,Promising,1398.6599999999999,7698.58,4,1924.645,12.303564932949673,17208.50412911939
Shop 123,21,1,1210.71,0.0,2024,1,3,1,1,5,At Risk,1210.71,1210.71,1,1210.71,12.303564932949673,14896.049099971498
Shop 124,36,1,2984.9300000000003,0.0,2024,0,2,1,1,5,Dormant,2984.9300000000003,15662.029999999999,3,5220.676666666666,12.303564932949673,36725.28007530947
Shop 125,30,3,6020.7300000000005,8.350496780746694,2024,0,2,1,1,1,At Risk,2006.91,10433.55,4,2608.3875,12.303564932949673,24692.14749958603
Shop 126,27,7,33118.33,7.068404227398983,2023,1,2,2,4,1,At Risk,4731.1900000000005,33118.33,7,4731.1900000000005,12.303564932949673,58210.50337512217
Shop 127,33,8,20270.39,5.113745559341799,2023,1,2,2,3,3,At Risk,2533.79875,20270.39,8,2533.79875,12.303564932949673,31174.757447651715
Shop 128,44,10,32778.39,8.355016309197808,2023,0,2,3,4,1,At Risk,3277.839,41133.98,13,3164.152307692308,12.303564932949673,40329.10497625482
Shop 129,8,6,6168.7300000000005,4.430058014430344,2023,1,4,2,1,4,Promising,1028.1216666666667,6168.7300000000005,6,1028.1216666666667,12.303564932949673,12649.561684805773
Shop 130,29,10,15339.13,5.461890842324561,2023,0,2,3,3,2,At Risk,1533.913,24563.73,13,1889.5176923076922,12.303564932949673,18872.59819699563
Shop 131,9,23,91150.04,6.888978569203861,2023,0,4,5,5,1,Loyal,3963.045217391304,118701.43,30,3956.714333333333,12.303564932949673,48759.58416438956
Shop 132,7,8,34207.92,8.38593776266079,2023,0,5,2,4,1,VIP,4275.99,45986.84,9,5109.648888888889,12.303564932949673,52609.92061764347
Shop 133,35,5,6808.62,5.177432679319567,2023,1,2,1,2,3,At Risk,1361.724,6808.62,5,1361.724,12.303564932949673,16754.059654755958
Shop 134,15,8,13469.56,5.321879246967865,2023,0,3,2,2,3,At Risk,1683.695,15963.27,9,1773.6966666666667,12.303564932949673,20715.4507597827
Shop 135,317,7,36029.7,8.625531728445594,2023,1,1,2,4,1,At Risk,5147.099999999999,36029.7,7,5147.099999999999,12.303564932949673,63327.67906638525
Shop 136,47,8,20699.09,7.029012273293419,2023,0,2,2,3,1,At Risk,2587.38625,28223.13,11,2565.739090909091,12.303564932949673,31834.074733496156
Shop 137,14,9,12284.49,4.693608480243923,2023,0,3,2,2,3,At Risk,1364.9433333333334,14330.31,11,1302.7554545454545,12.303564932949673,16793.66893146344
Shop 138,335,2,2003.48,3.7416573867739418,2023,0,1,1,1,4,At Risk,1001.74,2113.94,4,528.485,12.303564932949673,12324.973135933005
Shop 139,84,14,14101.88,3.3210671338906383,2023,0,1,4,3,5,At Risk,1007.2771428571428,15412.11,15,1027.474,12.303564932949673,12393.09973261888
Shop 140,9,24,71912.93000000001,5.556732421666434,2023,0,4,5,5,2,Loyal,2996.3720833333336,83493.2,29,2879.0758620689653,12.303564932949673,36866.05849056936
Shop 141,48,7,10859.84,5.118631313641181,2023,0,2,2,2,3,At Risk,1551.4057142857143,14111.61,9,1567.9566666666667,12.303564932949673,19087.820943063452
Shop 142,9,11,20295.47,5.1105553981751,2023,0,4,3,3,3,Loyal,1845.0427272727275,24022.12,13,1847.8553846153845,12.303564932949673,22700.602999066556
Shop 143,20,7,28126.01,7.2877951525214515,2023,1,3,2,4,1,At Risk,4018.0014285714283,28126.01,7,4018.0014285714283,12.303564932949673,49435.741477113115
Shop 144,447,2,6813.78,5.5677643628300215,2023,1,1,1,2,2,At Risk,3406.89,6813.780000000001,2,3406.8900000000003,12.303564932949673,41916.89233441691
Shop 145,106,2,1456.94,4.7958315233127236,2023,0,1,1,1,3,At Risk,728.47,2792.7799999999997,4,698.1949999999999,12.303564932949673,8962.777946705848
Shop 146,0,30,548726.98,1.6626530493614384,2023,0,5,5,5,5,Promising,18290.89933333333,749504.84,41,18280.605853658537,12.303564932949673,225043.26762971253
Shop 147,30,11,13810.28,4.568584453179926,2023,0,2,3,2,3,At Risk,1255.48,17557.61,13,1350.5853846153846,12.303564932949673,15446.879702019656
Shop 148,21,10,18376.95,7.1535112080114684,2023,0,3,3,3,1,At Risk,1837.6950000000002,22363.87,12,1863.6558333333332,12.303564932949673,22610.19975945695
Shop 149,27,10,12453.58,3.5640117319749662,2023,0,2,3,2,4,At Risk,1245.358,15964.99,13,1228.0761538461538,12.303564932949673,15322.343017768339
Shop 150,26,16,18824.0,4.071844178218295,2023,0,2,4,3,4,At Risk,1176.5,22942.63,20,1147.1315,12.303564932949673,14475.14414361529
Shop 151,5,6,9957.11,5.23935167611572,2023,0,5,2,2,3,Promising,1659.5183333333334,16281.369999999999,9,1809.041111111111,12.303564932949673,20417.99157158709
Shop 152,9,6,27596.36,8.665412185477939,2023,0,4,2,4,1,Loyal,4599.393333333333,34972.07,8,4371.50875,12.303564932949673,56588.93452884251
Shop 153,146,4,10603.97,6.79687498723288,2023,1,1,1,2,1,At Risk,2650.9925,10603.97,4,2650.9925,12.303564932949673,32616.658360512585
Shop 154,20,8,14027.78,7.994518865560613,2023,0,3,2,3,1,At Risk,1753.4725,28678.83,15,1911.922,12.303564932949673,21573.962761891595
Shop 155,8,12,845422.7999999999,5.338809732541218,2023,1,4,3,5,3,Loyal,70451.9,845422.7999999999,12,70451.9,12.303564932949673,866809.526299677
Shop 156,254,1,459.06,0.0,2023,1,1,1,1,5,Dormant,459.06,459.06,1,459.06,12.303564932949673,5648.074518119877
Shop 157,13,8,12316.43,4.407530232604506,2023,0,4,2,2,4,Promising,1539.55375,12933.81,10,1293.3809999999999,12.303564932949673,18941.999530891168
Shop 158,14,5,11839.41,5.282907729624359,2023,0,3,1,2,3,At Risk,2367.882,14656.130000000001,7,2093.7328571428575,12.303564932949673,29133.389940562738
Shop 159,6,21,52843.65,4.718817845462567,2023,0,5,5,5,3,VIP,2516.364285714286,60765.01,23,2641.9569565217394,12.303564932949673,30960.251384241237
Shop 160,61,22,23475.59,5.5071606247440315,2023,0,1,5,3,2,At Risk,1067.0722727272728,29905.93,26,1150.228076923077,12.303564932949673,13128.792995650183
Shop 161,9,12,24243.77,6.97058294427937,2023,1,4,3,3,1,Loyal,2020.3141666666668,24243.77,12,2020.3141666666668,12.303564932949673,24857.06653454144
Shop 162,42,5,5640.14,4.5542608825644475,2023,0,2,1,1,3,At Risk,1128.028,7905.6,7,1129.3714285714286,12.303564932949673,13878.765744185353
Shop 163,8,8,12256.13,3.644817653656694,2023,0,4,2,2,4,Promising,1532.01625,20512.69,14,1465.1921428571427,12.303564932949673,18849.26141020906
Shop 164,5,13,17048.760000000002,3.621327453608688,2023,0,5,4,3,4,Loyal,1311.4430769230771,20408.24,16,1275.515,12.303564932949673,16135.425052790391
Shop 165,9,10,43452.32,2.1774738089163086,2023,0,4,3,4,5,Promising,4345.232,48204.42,12,4017.035,12.303564932949673,53461.84406073077
Shop 166,2,48,139279.91,7.213715692417283,2023,0,5,5,5,1,VIP,2901.6647916666666,167574.7,59,2840.249152542373,12.303564932949673,35700.821177924714
Shop 167,21,24,24501.48,3.876325616363272,2023,0,3,5,4,4,At Risk,1020.895,29785.07,28,1063.7525,12.303564932949673,12560.647922223656
Shop 168,13,7,13278.5,4.254677323484864,2023,0,4,2,2,4,Promising,1896.9285714285713,15908.92,10,1590.892,12.303564932949673,23338.98385173889
Shop 169,6,6,2656.25,2.3966873338617622,2023,0,5,2,1,5,Promising,442.7083333333333,3506.53,8,438.31625,12.303564932949673,5446.890725524595
Shop 170,8,18,146953.51,5.5680659049530306,2023,0,4,4,5,2,Loyal,8164.083888888889,165186.28,19,8694.014736842106,12.303564932949673,100447.33624499274
Shop 171,8,11,7641.08,3.359969792082869,2023,0,4,3,2,5,Promising,694.6436363636363,9232.1,13,710.1615384615385,12.303564932949673,8546.59308526028
Shop 172,2,31,280801.29,3.4384371759698924,2023,0,5,5,5,5,Loyal,9058.106129032258,335452.39,35,9584.354000000001,12.303564932949673,111446.9969280978
Shop 173,9,7,6018.32,4.281942964886102,2023,1,4,2,1,4,Promising,859.76,6018.32,7,859.76,12.303564932949673,10578.11298675281
Shop 174,281,8,22118.1,5.3599977616724885,2023,1,1,2,3,3,At Risk,2764.7625,22118.1,8,2764.7625,12.303564932949673,34016.43494293427
Shop 175,9,25,70091.43000000001,6.734064107876307,2023,0,4,5,5,2,Loyal,2803.6572,80028.13,29,2759.5906896551724,12.303564932949673,34494.97840993187
Shop 176,0,56,416951.75,2.776425737149946,2023,0,5,5,5,5,Promising,7445.566964285715,460598.32,62,7429.005161290323,12.303564932949673,91607.01660771426
Shop 177,34,9,16133.14,1.4836191295024466,2023,0,2,2,3,5,At Risk,1792.5711111111111,21396.129999999997,12,1783.010833333333,12.303564932949673,22055.015062485298
Shop 178,13,24,30695.72,3.895456894837737,2023,0,4,5,4,4,Loyal,1278.9883333333335,35113.67,29,1210.8162068965516,12.303564932949673,15736.116007651748
Shop 179,0,19,50035.82,4.3874361715367955,2023,0,5,4,4,4,VIP,2633.4642105263156,59971.61,24,2498.8170833333334,12.303564932949673,32400.99791280957
Shop 180,8,37,229528.17,5.993403610401922,2023,0,4,5,5,2,Loyal,6203.464054054054,260804.81,44,5927.382045454546,12.303564932949673,76324.72279827327
Shop 181,20,9,8613.27,3.6313886422516664,2023,0,3,2,2,4,At Risk,957.0300000000001,11424.97,11,1038.6336363636362,12.303564932949673,11774.880747780826
Shop 182,41,20,18562.88,2.0942343241111585,2023,0,2,5,3,5,At Risk,928.144,20240.29,21,963.8233333333334,12.303564932949673,11419.479971127641
Shop 183,7,2,1449.9899999999998,1.4142135623730951,2024,0,5,1,1,5,Promising,724.9949999999999,2656.14,4,664.035,12.303564932949673,8920.023058563847
