Shop Code,Recency,Frequency,Monetary,Volatility,R_Score,V_Score,F_Score,M_Score,Segment,Cluster
Shop 108,15,22,28302.86,4.452959251937869,3,4,4,3,At Risk,0
Shop 109,8,17,14234.01,2.2188736795239947,4,5,4,2,Promising,0
Shop 110,6,27,372429.20999999996,9.49472512856809,5,1,5,5,Promising,1
Shop 111,67,12,14614.12,4.554899674773895,1,3,3,2,At Risk,0
Shop 112,13,15,23586.47,6.578041143655984,4,2,3,3,Promising,0
Shop 113,8,11,24199.44,7.289079615479895,4,1,3,3,Promising,0
Shop 114,15,23,50507.06,2.2113870161782674,3,5,4,4,At Risk,0
Shop 115,1,12,44777.29,4.251905339209278,5,4,3,4,Loyal,0
Shop 116,14,11,17474.02,4.18792463876168,4,4,3,3,Loyal,0
Shop 117,152,3,580.86,2.277049861296205,1,5,1,1,At Risk,0
Shop 118,14,1,4327.09,0.0,4,5,1,1,Promising,0
Shop 119,8,3,7690.55,5.345694767273142,4,3,1,2,Promising,0
Shop 120,36,2,18226.73,6.4031242374328485,2,2,1,3,At Risk,0
Shop 121,48,4,8290.45,6.661476653832961,2,1,1,2,Dormant,0
Shop 122,22,4,7698.58,6.0450339350267015,3,2,1,2,At Risk,0
Shop 123,111,1,1210.71,0.0,1,5,1,1,At Risk,0
Shop 124,29,3,15662.03,8.897381237365465,2,1,1,2,Dormant,0
Shop 125,33,4,10433.55,8.394223071873736,2,1,1,2,Dormant,0
Shop 126,117,7,33118.33,7.068404227398976,1,1,2,4,At Risk,0
Shop 127,123,8,20270.39,5.113745559341806,1,3,2,3,At Risk,0
Shop 128,33,13,41133.98,8.246961728470984,2,1,3,4,At Risk,0
Shop 129,98,6,6168.7300000000005,4.430058014430345,1,4,1,1,At Risk,0
Shop 130,18,13,24563.73,5.742720763511539,3,2,3,3,At Risk,0
Shop 131,8,30,118701.43000000001,6.964373863374075,4,1,5,5,Promising,0
Shop 132,67,9,45986.840000000004,8.684298403331436,1,1,2,4,At Risk,0
Shop 133,125,5,6808.62,5.1774326793195655,1,3,1,1,At Risk,0
Shop 134,53,9,15963.27,5.445487699273697,2,2,2,2,Dormant,0
Shop 135,407,7,36029.7,8.625531728445596,1,1,2,4,At Risk,2
Shop 136,1,11,28223.13,7.10089213822533,5,1,3,3,Promising,0
Shop 137,1,11,14330.31,4.391568573857316,5,4,3,2,Promising,0
Shop 138,1,4,2113.94,3.195009315408024,5,5,1,1,Promising,0
Shop 139,71,15,15412.11,3.3827291744021935,1,5,3,2,At Risk,0
Shop 140,15,29,83493.2,5.364959552898846,3,2,5,5,At Risk,0
Shop 141,57,9,14111.61,5.148719619741577,2,3,2,2,At Risk,0
Shop 142,28,13,24022.12,5.040983145975788,2,3,3,3,At Risk,0
Shop 143,110,7,28126.010000000002,7.287795152521448,1,1,2,3,At Risk,0
Shop 144,537,2,6813.78,5.5677643628300215,1,2,1,1,Dormant,2
Shop 145,6,4,2792.78,4.239697217049597,5,4,1,1,Promising,0
Shop 146,0,41,749504.84,1.6224356193815885,5,5,5,5,VIP,1
Shop 147,27,13,17557.61,4.648509385740542,2,3,3,3,At Risk,0
Shop 148,1,12,22363.87,6.810742405801533,5,1,3,3,Promising,0
Shop 149,6,13,15964.99,3.4979715960863795,5,4,3,2,Promising,0
Shop 150,4,20,22942.63,4.0476579469237555,5,4,4,3,Loyal,0
Shop 151,13,9,16281.37,5.097017048862182,4,3,2,2,Promising,0
Shop 152,28,8,34972.07,8.22283433354046,2,1,2,4,At Risk,0
Shop 153,236,4,10603.97,6.796874987232889,1,1,1,2,Dormant,2
Shop 154,11,15,28678.83,8.556748041133709,4,1,3,3,Promising,0
Shop 155,98,12,845422.7999999999,5.338809732541223,1,3,3,5,At Risk,1
Shop 156,344,1,459.06,0.0,1,5,1,1,At Risk,2
Shop 157,8,10,12933.81,4.020034732236226,4,4,2,2,Promising,0
Shop 158,27,7,14656.130000000001,5.025327203338774,2,3,2,2,At Risk,0
Shop 159,27,23,60765.01,5.260898857435666,2,3,4,4,At Risk,0
Shop 160,25,26,29905.93,5.752719453810058,3,2,5,4,At Risk,0
Shop 161,99,12,24243.77,6.970582944279349,1,1,3,3,At Risk,0
Shop 162,8,7,7905.6,4.334052031686888,4,4,2,2,Promising,0
Shop 163,1,14,20512.69,3.8995696676558143,5,4,3,3,Loyal,0
Shop 164,19,16,20408.24,3.537374850554198,3,4,4,3,At Risk,0
Shop 165,7,12,48204.42,2.0863610939577177,4,5,3,4,Loyal,0
Shop 166,1,59,167574.7,7.1165717567110764,5,1,5,5,Promising,1
Shop 167,6,28,29785.07,3.9835899199014286,5,4,5,4,VIP,0
Shop 168,14,10,15908.92,3.9065127914032565,4,4,2,2,Promising,0
Shop 169,5,8,3506.53,2.3075993073690264,5,5,2,1,Promising,0
Shop 170,39,19,165186.28,6.049143267759742,2,2,4,5,At Risk,0
Shop 171,5,13,9232.1,3.459008408352213,5,5,3,2,Promising,0
Shop 172,13,35,335452.39,3.610485724681815,4,4,5,5,Loyal,1
Shop 173,99,7,6018.32,4.281942964886106,1,4,2,1,At Risk,0
Shop 174,371,8,22118.1,5.3599977616724805,1,3,2,3,At Risk,2
Shop 175,36,29,80028.13,6.570292581467592,2,2,5,5,At Risk,0
Shop 176,21,62,460598.32,2.811149612395334,3,5,5,5,At Risk,1
Shop 177,26,12,21396.129999999997,1.5719947918915558,3,5,3,3,At Risk,0
Shop 178,11,29,35113.67,3.7600777129207787,4,4,5,4,Loyal,0
Shop 179,19,24,59971.61,4.159526884860628,3,4,5,4,At Risk,0
Shop 180,6,44,260804.81,5.931186878318533,5,2,5,5,Promising,1
Shop 181,5,11,11424.97,3.7728551608896956,5,4,3,2,Promising,0
Shop 182,78,21,20240.29,2.138810371192726,1,5,4,3,At Risk,0
Shop 183,5,4,2656.14,1.9847136888733077,5,5,1,1,Promising,0
Shop 184,28,12,20731.24,4.538494293390198,2,3,3,3,At Risk,0
Shop 185,216,3,8277.789999999999,5.456711262888777,1,2,1,2,Dormant,2
Shop 186,6,7,3334.8900000000003,2.6019625220255453,5,5,2,1,Promising,0
Shop 187,309,2,4682.2,7.0,1,1,1,1,Dormant,2
Shop 188,8,34,49529.6,4.72366014326061,4,3,5,4,Loyal,0
Shop 189,146,13,75370.86,2.2368980989251033,1,5,3,5,At Risk,0
Shop 190,4,48,821739.05,7.474815106533107,5,1,5,5,Promising,1
Shop 191,1,41,32143.57,10.63713216307249,5,1,5,4,Promising,0
Shop 192,0,47,57777.66,3.957556531791574,5,4,5,4,VIP,0
Shop 193,98,2,3982.95,7.549834435270752,1,1,1,1,Dormant,0
Shop 194,14,12,24157.88,5.531178525830941,4,2,3,3,Promising,0
Shop 195,29,12,19912.23,4.93803797085546,2,3,3,3,At Risk,0
Shop 196,22,11,23878.79,4.124837866956187,3,4,3,3,At Risk,0
Shop 197,34,29,142562.4,5.622170009766186,2,2,5,5,At Risk,0
Shop 198,22,22,19209.36,7.865541510791873,3,1,4,3,At Risk,0
Shop 199,14,23,28756.83,4.434145376104883,4,4,4,3,Loyal,0
Shop 200,18,15,12485.97,3.556253158444447,3,4,3,2,At Risk,0
Shop 201,8,9,6175.42,3.588066606612688,4,4,2,1,Promising,0
Shop 202,544,1,38.52,0.0,1,5,1,1,At Risk,2
Shop 203,8,27,55991.15,5.925073904801079,4,2,5,4,Promising,0
Shop 204,27,13,52106.53,6.969135078988315,2,1,3,4,At Risk,0
Shop 205,595,1,1598.0,0.0,1,5,1,1,At Risk,2
Shop 206,8,1,5097.6,0.0,4,5,1,1,Promising,0
Shop 207,82,2,4730.84,7.937253933193771,1,1,1,1,Dormant,0
Shop 208,1,11,16481.77,4.531824525192289,5,3,3,3,Loyal,0
Shop 209,137,5,5839.7300000000005,3.8358231411262853,1,4,1,1,At Risk,0
Shop 210,1,44,368607.36,4.872796384073351,5,3,5,5,Loyal,1
Shop 211,34,14,16310.79,4.594627165668389,2,3,3,2,At Risk,0
Shop 212,265,12,28417.41,5.590020781116728,1,2,3,3,At Risk,2
Shop 213,216,6,12583.42,3.7277078503269783,1,4,1,2,At Risk,2
Shop 214,12,20,89518.04,5.498029999121542,4,2,4,5,Promising,0
Shop 215,19,25,89641.46,8.064488182923462,3,1,5,5,At Risk,0
Shop 216,99,3,24901.15,7.7640712832727905,1,1,1,3,At Risk,0
Shop 217,117,8,9009.33,4.73853298543526,1,3,2,2,At Risk,0
Shop 218,12,9,7119.5,3.6582274157314467,4,4,2,1,Promising,0
Shop 219,36,10,6727.15,4.0032175316523455,2,4,2,1,At Risk,0
Shop 220,28,4,7220.76,5.199636932713375,2,3,1,1,At Risk,0
Shop 221,13,12,74769.69,5.753206481147786,4,2,3,5,Promising,0
Shop 222,15,21,45743.89,6.103774046224247,3,2,4,4,At Risk,0
Shop 223,26,25,102891.59,6.712216856651002,3,1,5,5,At Risk,0
Shop 224,1,11,19348.760000000002,4.632098457100459,5,3,3,3,Loyal,0
Shop 225,145,8,10495.63,1.9729095971805506,1,5,2,2,At Risk,0
Shop 226,265,6,57706.51,4.90925940118679,1,3,1,4,At Risk,2
Shop 227,13,9,12665.51,3.77208122624288,4,4,2,2,Promising,0
Shop 228,232,19,27578.6,3.7558694732709865,1,4,4,3,At Risk,2
Shop 229,1,19,26587.5,5.0699996496662045,5,3,4,3,Loyal,0
Shop 230,288,3,5730.16,5.815298490691163,1,2,1,1,Dormant,2
Shop 231,14,45,524615.57,11.963509259278581,4,1,5,5,Promising,1
Shop 232,25,13,20292.45,2.906247493257539,3,5,3,3,At Risk,0
Shop 233,70,15,21220.38,4.993505418929287,1,3,3,3,At Risk,0
Shop 234,46,11,14072.62,3.9310757970645986,2,4,3,2,At Risk,0
Shop 235,1,26,28368.16,3.6297335787193434,5,4,5,3,Loyal,0
Shop 236,1,8,17804.32,6.085184718001608,5,2,2,3,Promising,0
Shop 237,19,9,3356.9,2.3318574141782924,3,5,2,1,At Risk,0
Shop 238,1,50,362997.58,15.533306174333925,5,1,5,5,Promising,1
Shop 239,20,23,80508.1,8.144363979190278,3,1,4,5,At Risk,0
Shop 240,19,21,55965.770000000004,6.254453046408288,3,2,4,4,At Risk,0
Shop 241,8,21,41616.24,5.014760860658156,4,3,4,4,Loyal,0
Shop 242,0,7,5792.02,3.0636219946031495,5,5,2,1,Promising,0
Shop 243,6,21,39289.97,5.007160126900891,5,3,4,4,Loyal,0
Shop 244,57,41,106910.5,8.675117559537357,2,1,5,5,At Risk,0
Shop 245,1,35,191892.29,10.125490573605413,5,1,5,5,Promising,1
Shop 246,160,5,4563.05,3.834223329607437,1,4,1,1,At Risk,0
Shop 247,22,11,20648.22,4.996925718652568,3,3,3,3,At Risk,0
Shop 248,1,53,510827.09,12.861623886511827,5,1,5,5,Promising,1
Shop 249,81,2,1171.33,2.6457513110645903,1,5,1,1,At Risk,0
Shop 250,1,53,295669.4,12.533606762671175,5,1,5,5,Promising,1
Shop 251,18,13,20959.55,4.265771620300611,3,4,3,3,At Risk,0
Shop 252,1,51,300764.07,15.120984476260956,5,1,5,5,Promising,1
Shop 253,1,53,511894.91,9.570770012713336,5,1,5,5,Promising,1
Shop 254,0,61,963155.81,12.599220926999836,5,1,5,5,Promising,1
Shop 255,5,26,21344.14,3.1419072935289836,5,5,5,3,Loyal,0
Shop 256,8,47,98222.53,9.956575802849926,4,1,5,5,Promising,1
Shop 257,96,15,19627.34,4.512533905710597,1,3,3,3,At Risk,0
Shop 258,8,15,8932.08,3.4443626972943053,4,5,3,2,Promising,0
Shop 259,4,42,216958.99,5.029634767224921,5,3,5,5,Loyal,1
Shop 260,8,51,163657.35,10.248560852148223,4,1,5,5,Promising,1
Shop 261,1,2,4970.6,7.874007874011811,5,1,1,1,Promising,0
Shop 262,36,5,10444.49,5.660684069158619,2,2,1,2,Dormant,0
Shop 263,60,11,16990.41,7.555191148537566,1,1,3,3,At Risk,0
Shop 264,321,1,1014.32,0.0,1,5,1,1,At Risk,2
Shop 265,5,11,15856.9,4.872745495103363,5,3,3,2,Promising,0
Shop 266,42,5,6733.53,3.698795660858027,2,4,1,1,At Risk,0
Shop 267,15,21,45273.82,5.609107015132037,3,2,4,4,At Risk,0
Shop 268,19,21,90260.39,5.536822596495233,3,2,4,5,At Risk,0
Shop 269,7,13,53946.840000000004,7.631014877775964,4,1,3,4,Promising,0
Shop 270,13,9,13022.31,6.7419155472351475,4,1,2,2,Promising,0
Shop 271,29,8,23858.69,7.030512586739407,2,1,2,3,At Risk,0
Shop 272,7,15,54386.7,10.200663052492208,4,1,3,4,Promising,0
Shop 273,6,8,3732.13,3.552514745917834,5,4,2,1,Promising,0
Shop 274,1,9,22847.11,6.004084699331414,5,2,2,3,Promising,0
Shop 275,0,17,15683.21,3.705007848460857,5,4,4,2,Promising,0
Shop 276,12,9,24779.57,7.1121948763747875,4,1,2,3,Promising,0
Shop 277,22,13,83976.04000000001,8.132902704699347,3,1,3,5,At Risk,0
Shop 278,18,13,21782.1,4.319959525850663,3,4,3,3,At Risk,0
Shop 279,559,1,338.29,0.0,1,5,1,1,At Risk,2
Shop 280,0,29,20149.64,3.123304696671493,5,5,5,3,Loyal,0
Shop 281,29,13,25275.29,4.4898447242667885,2,4,3,3,At Risk,0
Shop 282,503,2,3302.69,5.830951894845301,1,2,1,1,Dormant,2
Shop 283,15,14,35343.06,4.598582557937147,3,3,3,4,At Risk,0
Shop 284,18,12,22476.0,5.022906603775305,3,3,3,3,At Risk,0
Shop 285,21,12,20579.54,4.258620035637039,3,4,3,3,At Risk,0
Shop 286,7,5,11123.62,6.1301040438539545,4,2,1,2,Promising,0
Shop 287,42,9,11605.23,3.8278496515922904,2,4,2,2,At Risk,0
Shop 288,28,51,52657.810000000005,3.3055644311635226,2,5,5,4,At Risk,1
Shop 289,35,15,27411.84,4.7203128410825235,2,3,3,3,At Risk,0
Shop 290,34,14,19398.89,4.4302591709716825,2,4,3,3,At Risk,0
Shop 291,26,14,49482.39,6.59627916922511,3,2,3,4,At Risk,0
Shop 292,22,1,3637.86,0.0,3,5,1,1,At Risk,0
Shop 293,97,3,2863.44,4.20883424647321,1,4,1,1,At Risk,0
Shop 294,88,4,5980.66,5.359023401087518,1,3,1,1,At Risk,0
Shop 295,27,12,18065.26,5.5209376472669405,2,2,3,3,At Risk,0
Shop 296,5,27,45541.06,5.414653010188829,5,2,5,4,Promising,0
Shop 297,1,3,2224.57,3.466299966399866,5,4,1,1,Promising,0
Shop 298,14,25,109983.56,7.1319929147759025,4,1,5,5,Promising,0
Shop 299,193,46,127600.48,2.5200813421916988,1,5,5,5,At Risk,1
Shop 300,36,15,25578.69,5.167002740215221,2,3,3,3,At Risk,0
Shop 301,182,6,8394.47,5.9670318207631485,1,2,1,2,Dormant,0
Shop 302,1,10,8767.0,3.7459046286652105,5,4,2,2,Promising,0
Shop 303,6,25,105485.3,7.788703323690683,5,1,5,5,Promising,0
Shop 304,161,6,8804.2,5.894416203995959,1,2,1,2,Dormant,0
Shop 305,6,13,102419.58,9.775847805689354,5,1,3,5,Promising,0
Shop 306,1,9,2537.5,2.4330900860520686,5,5,2,1,Promising,0
Shop 307,15,33,62427.87,5.29215409103501,3,3,5,4,At Risk,0
Shop 308,32,2,3447.4700000000003,5.0990195135927845,2,3,1,1,At Risk,0
Shop 309,103,13,21430.84,4.610530779680775,1,3,3,3,At Risk,0
Shop 310,27,9,6420.67,3.5270132839310624,2,4,2,1,At Risk,0
Shop 311,35,5,47033.83,1.936098111646361,2,5,1,4,At Risk,0
Shop 312,1,13,10323.36,4.747995704317452,5,3,3,2,Promising,0
Shop 313,341,1,2332.67,0.0,1,5,1,1,At Risk,2
Shop 314,15,10,19918.78,5.6928898953860765,3,2,2,3,At Risk,0
Shop 315,26,12,9982.84,1.9754374271811563,3,5,3,2,At Risk,0
Shop 316,21,10,16304.19,5.191402589329246,3,3,2,2,At Risk,0
Shop 317,25,25,69240.86,6.644584952693277,3,2,5,5,At Risk,0
Shop 318,15,32,112254.99,6.6437735090863494,3,2,5,5,At Risk,0
Shop 319,179,21,62472.67,5.7237125232333375,1,2,4,5,At Risk,0
Shop 320,27,7,4245.52,3.253718815905806,2,5,2,1,At Risk,0
Shop 321,4,19,44672.3,6.074249783163634,5,2,4,4,Promising,0
Shop 322,21,14,41220.93,6.832262276118815,3,1,3,4,At Risk,0
Shop 323,70,12,51996.68,7.801242299558854,1,1,3,4,At Risk,0
Shop 324,28,7,17035.67,2.6862274014684404,2,5,2,3,At Risk,0
Shop 325,20,3,6315.85,6.548077710796771,3,2,1,1,At Risk,0
Shop 326,11,26,41511.93,8.409621210162737,4,1,5,4,Promising,0
Shop 327,1,28,107533.03,6.330081300487621,5,2,5,5,Promising,0
Shop 328,18,22,30603.77,5.170470486906804,3,3,4,4,At Risk,0
Shop 329,26,20,20867.37,3.1502875764385894,3,5,4,3,At Risk,0
Shop 330,5,25,51285.17,4.872305811653354,5,3,5,4,Loyal,0
Shop 331,25,11,19345.77,4.248382910054108,3,4,3,3,At Risk,0
Shop 332,22,5,10412.79,5.743390717215125,3,2,1,2,At Risk,0
Shop 333,33,4,11168.65,6.836329357360497,2,1,1,2,Dormant,0
Shop 334,35,11,23342.28,5.925856035828795,2,2,3,3,At Risk,0
Shop 335,6,7,8041.26,4.6026704479017635,5,3,2,2,Promising,0
Shop 336,22,6,9215.68,4.955137682451306,3,3,1,2,At Risk,0
Shop 337,11,11,19348.35,5.600201191414991,4,2,3,3,Promising,0
Shop 338,32,10,6831.05,2.702184720445357,2,5,2,1,At Risk,0
Shop 339,28,12,36032.62,2.4774556140063004,2,5,3,4,At Risk,0
Shop 340,64,4,30375.13,8.911878105782906,1,1,1,4,At Risk,0
Shop 341,0,37,83751.66,4.090164919131523,5,4,5,5,VIP,0
Shop 342,19,29,119837.54000000001,7.011223402231313,3,1,5,5,At Risk,0
Shop 343,6,8,13511.66,4.95207989810474,5,3,2,2,Promising,0
Shop 344,8,14,17056.26,4.018721676416576,4,4,3,3,Loyal,0
Shop 345,5,22,29344.809999999998,3.32093327840213,5,5,4,3,Loyal,0
Shop 346,14,36,66660.48,4.818081445121002,4,3,5,5,Loyal,0
Shop 347,111,4,2820.65,3.7466152894241427,1,4,1,1,At Risk,0
Shop 348,419,1,406.4,0.0,1,5,1,1,At Risk,2
Shop 349,26,32,83495.02,7.544827288504441,3,1,5,5,At Risk,0
Shop 350,8,67,277448.5,5.959607771464556,4,2,5,5,Promising,1
Shop 351,148,49,113678.8,6.358068066457861,1,2,5,5,At Risk,1
Shop 352,15,27,96527.9,5.306497098739568,3,3,5,5,At Risk,0
Shop 353,292,2,1316.5,3.8729833462074166,1,4,1,1,At Risk,2
Shop 354,29,9,58004.13,8.239036107906408,2,1,2,4,At Risk,0
Shop 355,29,20,286983.69,6.55493258367091,2,2,4,5,At Risk,1
Shop 356,26,20,26703.08,4.12356672272792,3,4,4,3,At Risk,0
Shop 357,187,6,8602.3,4.784706283952334,1,3,1,2,At Risk,0
Shop 358,5,58,148631.04,5.324084317513855,5,3,5,5,Loyal,1
Shop 359,15,23,46536.89,4.457831422257746,3,4,4,4,At Risk,0
Shop 360,36,16,23392.170000000002,4.939926904292968,2,3,4,3,At Risk,0
Shop 361,15,11,12433.37,4.94674159511005,3,3,3,2,At Risk,0
Shop 362,50,8,5912.44,3.395901909628514,2,5,2,1,At Risk,0
Shop 363,14,19,35561.1,3.5879905707614728,4,4,4,4,Loyal,0
Shop 364,18,18,37340.49,5.480287472100943,3,2,4,4,At Risk,0
Shop 365,26,19,63741.48,5.087604288574555,3,3,4,5,At Risk,0
Shop 366,7,32,25144.99,4.118499673887629,4,4,5,3,Loyal,0
Shop 367,167,13,29163.38,5.233084028982516,1,3,3,3,At Risk,0
Shop 368,32,11,9712.630000000001,3.4927245365317217,2,4,3,2,At Risk,0
Shop 369,50,15,13105.72,4.778424361691926,2,3,3,2,At Risk,0
Shop 370,28,18,39569.58,5.898491186038335,2,2,4,4,At Risk,0
Shop 371,29,9,9524.55,3.7841231648450657,2,4,2,2,At Risk,0
Shop 372,42,14,18450.66,4.532629195380477,2,3,3,3,At Risk,0
Shop 373,21,14,61527.090000000004,8.798771396007623,3,1,3,4,At Risk,0
Shop 374,77,7,18944.19,7.727580003943141,1,1,2,3,At Risk,0
Shop 375,435,10,12651.45,4.989764498517428,1,3,2,2,At Risk,2
Shop 376,131,2,3819.34,6.324555320336759,1,2,1,1,Dormant,0
Shop 377,117,10,15742.220000000001,4.229329638833219,1,4,2,2,At Risk,0
Shop 378,20,3,74821.44,2.2646044478841647,3,5,1,5,At Risk,0
Shop 379,15,20,84087.03,5.865217490192394,3,2,4,5,At Risk,0
Shop 380,67,25,52980.2,4.629197380020994,1,3,5,4,At Risk,0
Shop 381,78,9,19120.22,6.379130323850025,1,2,2,3,At Risk,0
Shop 382,28,11,28545.04,5.327118779037605,2,3,3,3,At Risk,0
Shop 383,11,12,69705.14,6.81441758477619,4,1,3,5,Promising,0
Shop 384,20,9,4246.64,3.2956396609478404,3,5,2,1,At Risk,0
Shop 385,5,8,6769.16,3.673444371211723,5,4,2,1,Promising,0
Shop 386,43,14,18738.06,6.200616875620426,2,2,3,3,At Risk,0
Shop 387,26,14,36151.2,5.248364185651463,3,3,3,4,At Risk,0
Shop 388,123,4,2121.62,2.847494983723771,1,5,1,1,At Risk,0
Shop 389,18,15,26536.93,0.9936744176025906,3,5,3,3,At Risk,0
Shop 390,13,15,36782.08,6.113513335918578,4,2,3,4,Promising,0
Shop 391,8,7,10037.52,4.337909562914658,4,4,2,2,Promising,0
Shop 392,19,15,16990.13,4.7686127242134635,3,3,3,3,At Risk,0
Shop 393,35,11,18802.62,4.608558079648308,2,3,3,3,At Risk,0
Shop 394,63,11,16168.32,5.361285345600609,1,3,3,2,At Risk,0
Shop 395,0,17,58434.34,1.3215338092197242,5,5,4,4,VIP,0
Shop 396,8,16,37477.02,5.873676039070026,4,2,4,4,Promising,0
Shop 397,20,12,47558.21,7.134216998291355,3,1,3,4,At Risk,0
Shop 398,327,1,1872.5,0.0,1,5,1,1,At Risk,2
Shop 399,15,17,15396.09,2.6548202095812887,3,5,4,2,At Risk,0
Shop 400,216,4,2224.84,2.9043130886261705,1,5,1,1,At Risk,2
Shop 401,28,6,14961.79,7.598166112943528,2,1,1,2,Dormant,0
Shop 402,1,3,2135.9,1.193642663236723,5,5,1,1,Promising,0
Shop 403,5,26,30133.79,4.292257476482795,5,4,5,4,VIP,0
Shop 404,85,14,17009.07,5.05888782673773,1,3,3,3,At Risk,0
Shop 405,15,12,28453.149999999998,3.657929825165074,3,4,3,3,At Risk,0
Shop 406,22,8,11293.02,4.8292802687979375,3,3,2,2,At Risk,0
Shop 407,7,31,44843.06,2.2680477899037497,4,5,5,4,Loyal,0
Shop 408,8,18,28155.73,4.7404708584011646,4,3,4,3,Loyal,0
Shop 409,12,25,180361.21,0.7615969964538306,4,5,5,5,Loyal,0
Shop 410,55,8,195124.8,4.8570201398396415,2,3,2,5,At Risk,0
Shop 411,42,8,17794.25,4.461539682709448,2,4,2,3,At Risk,0
Shop 412,8,26,34687.55,5.9952308873757465,4,2,5,4,Promising,0
Shop 413,35,5,6036.87,4.111193319281451,2,4,1,1,At Risk,0
Shop 414,7,15,33429.8,6.684717088938048,4,1,3,4,Promising,0
Shop 415,26,14,9872.82,2.3489709199853332,3,5,3,2,At Risk,0
Shop 416,43,11,10279.14,4.325801246557179,2,4,3,2,At Risk,0
Shop 417,34,6,10051.94,4.517800098847038,2,3,1,2,At Risk,0
Shop 418,47,9,67901.78,8.042270882521468,2,1,2,5,At Risk,0
Shop 419,21,7,4873.02,3.660081351533637,3,4,2,1,At Risk,0
Shop 420,19,12,40600.77,5.782993802453816,3,2,3,4,At Risk,0
Shop 421,8,25,65788.16,5.010829159262419,4,3,5,5,Loyal,0
Shop 422,7,14,34937.54,2.254694986850696,4,5,3,4,Loyal,0
Shop 423,7,21,33905.54,5.110943520985025,4,3,4,4,Loyal,0
Shop 424,1,10,14453.64,3.967468280501027,5,4,2,2,Promising,0
Shop 425,7,25,29342.56,4.173633262055051,4,4,5,3,Loyal,0
Shop 426,6,85,278347.51,4.777590027259134,5,3,5,5,Loyal,1
Shop 427,21,24,229684.57,14.832747447900058,3,1,5,5,At Risk,0
Shop 428,8,27,336137.3,13.97135874120561,4,1,5,5,Promising,1
Shop 429,104,4,13514.52,8.198052047255569,1,1,1,2,Dormant,0
Shop 430,15,10,79829.52,9.732994868059045,3,1,2,5,At Risk,0
Shop 431,92,2,511.47,2.449489742783178,1,5,1,1,At Risk,0
Shop 432,5,30,33985.56,4.906989458407268,5,3,5,4,Loyal,0
Shop 433,36,4,17981.05,6.1646134828553425,2,2,1,3,At Risk,0
Shop 434,29,9,4726.88,3.110793095625102,2,5,2,1,At Risk,0
Shop 435,6,14,11998.92,3.101027729610303,5,5,3,2,Promising,0
Shop 436,36,15,123224.12,6.263164933428607,2,2,3,5,At Risk,0
Shop 437,88,5,3776.7400000000002,3.452133213396955,1,5,1,1,At Risk,0
Shop 438,14,28,93185.44,10.99961399632824,4,1,5,5,Promising,0
Shop 439,5,17,102362.72,7.7570994046174215,5,1,4,5,Promising,0
Shop 440,61,17,54477.12,6.573576157297462,1,2,4,4,At Risk,0
Shop 441,15,24,31303.24,4.809969140598227,3,3,5,4,At Risk,0
Shop 442,0,16,11505.37,2.9773697097392575,5,5,4,2,Promising,0
Shop 443,15,21,25741.31,5.999112930605915,3,2,4,3,At Risk,0
Shop 444,22,20,41543.97,5.179497397450882,3,3,4,4,At Risk,0
Shop 445,0,16,27803.47,6.463736014311156,5,2,4,3,Promising,0
Shop 446,77,9,8745.14,4.347033924106739,1,4,2,2,At Risk,0
Shop 447,14,8,7543.2300000000005,4.055728505509048,4,4,2,2,Promising,0
Shop 448,19,14,16023.36,4.906813404547611,3,3,3,2,At Risk,0
Shop 449,33,14,13495.980000000001,2.8460681522961506,2,5,3,2,At Risk,0
Shop 450,7,27,53032.01,4.8349949463173205,4,3,5,4,Loyal,0
Shop 451,5,64,606548.33,4.519836361896651,5,3,5,5,Loyal,1
Shop 452,8,7,6369.9,5.013457776973734,4,3,2,1,Promising,0
Shop 453,8,12,7869.62,2.419105668914859,4,5,3,2,Promising,0
Shop 454,0,16,14245.91,5.066699254642615,5,3,4,2,Promising,0
Shop 455,21,9,7366.67,2.718879740786919,3,5,2,1,At Risk,0
Shop 456,4,44,48592.55,4.1402005953487295,5,4,5,4,VIP,0
Shop 457,1,10,17068.75,6.547310070550989,5,2,2,3,Promising,0
Shop 458,0,62,233367.35,7.512131076816994,5,1,5,5,Promising,1
Shop 459,5,8,8132.26,2.6963939603397913,5,5,2,2,Promising,0
Shop 460,7,39,141734.68,2.891423424811784,4,5,5,5,Loyal,1
Shop 461,34,12,21071.39,5.598948211516702,2,2,3,3,At Risk,0
Shop 462,18,7,18653.95,4.317170952771683,3,4,2,3,At Risk,0
Shop 463,11,7,5285.11,3.18939077330887,4,5,2,1,Promising,0
Shop 464,390,9,20225.5,3.950968106632213,1,4,2,3,At Risk,2
Shop 465,46,7,2392.4900000000002,2.7367932076359653,2,5,2,1,At Risk,0
Shop 466,8,51,78331.18000000001,4.344393418461636,4,4,5,5,Loyal,1
Shop 467,8,45,231794.92,5.8101803721818515,4,2,5,5,Promising,1
Shop 468,18,42,279707.27,10.777089370721075,3,1,5,5,At Risk,1
Shop 469,8,69,388746.08,6.244644847769415,4,2,5,5,Promising,1
Shop 470,216,13,33122.62,10.071530621675272,1,1,3,4,At Risk,2
Shop 471,25,2,3317.41,6.928203230275509,3,1,1,1,At Risk,0
Shop 472,1,9,14882.960000000001,4.817617919375407,5,3,2,2,Promising,0
Shop 473,13,8,4000.88,3.071173778452224,4,5,2,1,Promising,0
