Shop Code,Recency,Frequency,Monetary,Volatility,R_Score,V_Score,F_Score,M_Score,Segment,Cluster
Shop 565,1,4,2077.69,2.8038938346611473,5,5,1,1,Promising,0
Shop 566,6,15,18892.68,4.670404950838216,5,3,3,3,Loyal,0
Shop 567,4,13,15840.58,3.549090125737018,5,4,3,2,Promising,0
Shop 568,98,16,115472.3,4.49300133188052,1,4,4,5,At Risk,0
Shop 569,1,52,115584.13,8.103301988270564,5,1,5,5,Promising,1
Shop 570,19,13,26627.65,5.797150130903308,3,2,3,3,At Risk,0
Shop 571,12,11,10213.96,4.048893158929897,4,4,3,2,Promising,0
Shop 572,7,16,15460.53,3.2697695969826666,4,5,4,2,Promising,0
Shop 573,1,37,210188.68,11.11434836476762,5,1,5,5,Promising,1
Shop 574,11,15,14775.18,4.013034318872,4,4,3,2,Promising,0
Shop 575,1,4,1941.0,3.3463835781754887,5,5,1,1,Promising,0
Shop 576,14,4,33351.24,5.315070037065425,4,3,1,4,Promising,0
Shop 577,8,28,77216.26000000001,4.1025916158785884,4,4,5,5,Loyal,0
Shop 578,36,4,3190.09,3.9068115559025025,2,4,1,1,At Risk,0
Shop 579,53,8,6665.9,3.766792436151338,2,4,2,1,At Risk,0
Shop 580,1,18,52846.72,9.330326425988725,5,1,4,4,Promising,0
Shop 581,25,12,29802.66,5.513745067315147,3,2,3,4,At Risk,0
Shop 582,7,17,23058.59,4.151704860217584,4,4,4,3,Loyal,0
Shop 583,14,8,9823.18,2.778361965498467,4,5,2,2,Promising,0
Shop 584,40,6,7983.35,5.73780592677226,2,2,1,2,Dormant,0
Shop 585,29,7,20422.04,6.758829231492935,2,1,2,3,At Risk,0
Shop 586,20,25,78915.91,7.666248203332066,3,1,5,5,At Risk,0
Shop 587,8,21,17405.59,3.16166876872918,4,5,4,3,Loyal,0
Shop 588,13,23,33147.47,4.2010831306220995,4,4,4,4,Loyal,0
Shop 589,1,46,871506.66,2.455121563118448,5,5,5,5,VIP,1
Shop 590,14,22,117317.0,3.9998693618228467,4,4,4,5,Loyal,0
Shop 591,174,13,104874.63,3.40333381676353,1,5,3,5,At Risk,0
Shop 592,1,12,27566.37,5.913587204055855,5,2,3,3,Promising,0
Shop 593,104,4,2449.79,3.0026985108577646,1,5,1,1,At Risk,0
Shop 594,14,17,86958.54,2.1220148445080786,4,5,4,5,Loyal,0
Shop 595,21,19,139834.78,6.637395957956163,3,2,4,5,At Risk,0
Shop 596,14,9,12119.84,4.121204831873734,4,4,2,2,Promising,0
Shop 597,0,58,120154.17,5.762615509778862,5,2,5,5,Promising,1
Shop 598,12,12,15691.17,4.095133079953413,4,4,3,2,Promising,0
Shop 599,18,19,47866.42,5.974355373211857,3,2,4,4,At Risk,0
Shop 600,20,23,217226.27,11.339608630513188,3,1,4,5,At Risk,0
Shop 601,26,22,57970.98,5.889563398766299,3,2,4,4,At Risk,0
Shop 602,14,13,11070.06,3.2902761244218754,4,5,3,2,Promising,0
Shop 603,11,26,86014.82,5.60953247956209,4,2,5,5,Promising,0
Shop 604,36,9,22445.63,5.600364000964266,2,2,2,3,At Risk,0
Shop 605,11,25,95867.82,5.892160647869583,4,2,5,5,Promising,0
Shop 606,26,16,18713.23,4.848054642775935,3,3,4,3,At Risk,0
Shop 607,15,18,66124.25,3.3049128927871685,3,5,4,5,At Risk,0
Shop 608,14,10,10610.08,3.45580744873853,4,5,2,2,Promising,0
Shop 609,5,30,108300.36,5.949716718295475,5,2,5,5,Promising,0
Shop 610,139,14,9986.99,3.0253094945188974,1,5,3,2,At Risk,0
Shop 611,0,12,23190.65,5.836931490381159,5,2,3,3,Promising,0
Shop 612,7,24,49962.09,5.368957459835835,4,2,5,4,Promising,0
Shop 613,1,14,13019.24,3.533999728422335,5,4,3,2,Promising,0
Shop 614,29,14,19175.14,4.9396981919292475,2,3,3,3,At Risk,0
Shop 615,5,23,24636.15,1.0194025002273628,5,5,4,3,Loyal,0
Shop 616,5,32,43780.049999999996,4.864204748870912,5,3,5,4,Loyal,0
Shop 617,13,9,25114.09,5.370088250077255,4,2,2,3,Promising,0
Shop 618,50,13,12167.33,3.454465140926657,2,5,3,2,At Risk,0
Shop 619,475,4,4877.24,5.246280841686014,1,3,1,1,At Risk,2
Shop 620,29,16,9669.47,2.3432724215215095,2,5,4,2,At Risk,0
Shop 621,61,4,4167.4,3.5649860171233128,1,4,1,1,At Risk,0
Shop 622,47,4,16432.010000000002,7.031513970893963,2,1,1,2,Dormant,0
Shop 623,36,21,23471.66,4.144957413770607,2,4,4,3,At Risk,0
Shop 624,15,12,14732.81,4.465222918483527,3,4,3,2,At Risk,0
Shop 625,13,32,46099.340000000004,4.0058603001342625,4,4,5,4,Loyal,0
Shop 626,13,100,273422.75,3.9947724428597633,4,4,5,5,Loyal,1
Shop 627,8,6,1979.88,1.769506411736468,4,5,1,1,Promising,0
Shop 628,328,1,943.64,0.0,1,5,1,1,At Risk,2
Shop 629,18,20,28470.53,4.0335297597826205,3,4,4,3,At Risk,0
Shop 630,8,37,110635.13,5.634418097029767,4,2,5,5,Promising,0
Shop 631,12,7,4286.42,3.0676102028715184,4,5,2,1,Promising,0
